date	all	school_shooting	mass_shooting	mass_murder	shooting
2008-09-09	251400.0	2.0	2.0	1.0	168.0
2008-09-10	778800.0	6.0	4.0	7.0	442.0
2008-09-11	780000.0	11.0	0.0	3.0	402.0
2008-09-12	791400.0	6.0	13.0	5.0	494.0
2008-09-13	783000.0	5.0	2.0	0.0	503.0
2008-09-14	790200.0	0.0	0.0	0.0	394.0
2008-09-15	811800.0	15.0	10.0	1.0	468.0
2008-09-16	805583.0	32.0	4.0	0.0	433.0
2008-09-17	802200.0	32.0	8.0	4.0	481.0
2008-09-18	814200.0	31.0	2.0	0.0	509.0
2008-09-19	838800.0	7.0	4.0	3.0	539.0
2008-09-20	819600.0	7.0	7.0	3.0	643.0
2008-09-21	836400.0	11.0	0.0	0.0	575.0
2008-09-22	834000.0	3.0	6.0	3.0	503.0
2008-09-23	819000.0	377.0	2.0	5.0	962.0
2008-09-24	797400.0	99.0	10.0	4.0	610.0
2008-09-25	823800.0	47.0	11.0	0.0	500.0
2008-09-26	818299.0	6.0	1.0	1.0	479.0
2008-09-27	841800.0	3.0	1.0	6.0	554.0
2008-09-28	851401.0	47.0	3.0	2.0	531.0
2008-09-29	846000.0	8.0	2.0	1.0	502.0
2008-09-30	848400.0	22.0	9.0	3.0	575.0
2008-10-01	831600.0	21.0	6.0	2.0	418.0
2008-10-02	820800.0	10.0	10.0	2.0	422.0
2008-10-03	843601.0	11.0	0.0	6.0	497.0
2008-10-04	843600.0	7.0	3.0	9.0	649.0
2008-10-05	836400.0	14.0	1.0	11.0	576.0
2008-10-06	843659.0	19.0	0.0	5.0	499.0
2008-10-07	735339.0	16.0	2.0	2.0	503.0
2008-10-08	829040.0	17.0	0.0	3.0	585.0
2008-10-09	834600.0	19.0	4.0	2.0	500.0
2008-10-10	832694.0	13.0	8.0	3.0	552.0
2008-10-11	834000.0	4.0	0.0	4.0	653.0
2008-10-12	843600.0	15.0	4.0	3.0	573.0
2008-10-13	838800.0	25.0	0.0	0.0	479.0
2008-10-14	842400.0	14.0	3.0	0.0	568.0
2008-10-15	827400.0	14.0	0.0	5.0	468.0
2008-10-16	829800.0	29.0	4.0	2.0	503.0
2008-10-17	827400.0	27.0	2.0	3.0	523.0
2008-10-18	822600.0	10.0	1.0	11.0	628.0
2008-10-19	835200.0	12.0	4.0	4.0	645.0
2008-10-20	842400.0	15.0	3.0	0.0	490.0
2008-10-21	843000.0	23.0	3.0	5.0	503.0
2008-10-22	834000.0	34.0	5.0	5.0	559.0
2008-10-23	852001.0	18.0	7.0	4.0	579.0
2008-10-24	843000.0	10.0	5.0	1.0	553.0
2008-10-25	832200.0	16.0	5.0	4.0	682.0
2008-10-26	841200.0	9.0	7.0	2.0	587.0
2008-10-27	841201.0	39.0	13.0	9.0	878.0
2008-10-28	836400.0	16.0	8.0	3.0	532.0
2008-10-29	840000.0	15.0	3.0	0.0	499.0
2008-10-30	838800.0	6.0	8.0	1.0	494.0
2008-10-31	833400.0	11.0	3.0	6.0	494.0
2008-11-01	847200.0	14.0	7.0	0.0	602.0
2008-11-02	849000.0	11.0	7.0	1.0	534.0
2008-11-03	841800.0	9.0	0.0	2.0	489.0
2008-11-04	849000.0	6.0	2.0	1.0	381.0
2008-11-05	847800.0	15.0	4.0	2.0	425.0
2008-11-06	832800.0	17.0	4.0	4.0	492.0
2008-11-07	843000.0	15.0	3.0	2.0	502.0
2008-11-08	840000.0	6.0	3.0	1.0	610.0
2008-11-09	837600.0	5.0	3.0	1.0	485.0
2008-11-10	840600.0	13.0	1.0	2.0	535.0
2008-11-11	837000.0	10.0	4.0	4.0	459.0
2008-11-12	843601.0	31.0	1.0	1.0	266.0
2008-11-13	834505.0	16.0	1.0	1.0	511.0
2008-11-14	847200.0	13.0	2.0	4.0	602.0
2008-11-15	844800.0	11.0	5.0	1.0	680.0
2008-11-16	817200.0	8.0	2.0	1.0	571.0
2008-11-17	831600.0	14.0	2.0	4.0	572.0
2008-11-18	739801.0	14.0	4.0	0.0	446.0
2008-11-19	813600.0	19.0	1.0	1.0	552.0
2008-11-20	795600.0	6.0	3.0	4.0	435.0
2008-11-21	817200.0	26.0	1.0	5.0	556.0
2008-11-22	826200.0	9.0	4.0	1.0	687.0
2008-11-23	804600.0	4.0	6.0	0.0	605.0
2008-11-24	786600.0	11.0	2.0	3.0	599.0
2008-11-25	799200.0	9.0	3.0	3.0	562.0
2008-11-26	793800.0	3.0	4.0	7.0	658.0
2008-11-27	786000.0	4.0	0.0	5.0	479.0
2008-11-28	805200.0	8.0	4.0	4.0	774.0
2008-11-29	825601.0	7.0	6.0	6.0	645.0
2008-11-30	815400.0	5.0	4.0	1.0	559.0
2008-12-01	805200.0	8.0	1.0	2.0	554.0
2008-12-02	795001.0	12.0	4.0	0.0	598.0
2008-12-03	813000.0	3.0	4.0	3.0	532.0
2008-12-04	833400.0	11.0	3.0	4.0	599.0
2008-12-05	814200.0	10.0	2.0	3.0	615.0
2008-12-06	805200.0	4.0	0.0	2.0	583.0
2008-12-07	790200.0	18.0	2.0	0.0	611.0
2008-12-08	819000.0	8.0	4.0	2.0	674.0
2008-12-09	815400.0	12.0	3.0	4.0	660.0
2008-12-10	822000.0	7.0	3.0	2.0	547.0
2008-12-11	819000.0	27.0	3.0	0.0	546.0
2008-12-12	810600.0	9.0	4.0	6.0	595.0
2008-12-13	813000.0	9.0	3.0	1.0	726.0
2008-12-14	769800.0	9.0	2.0	4.0	548.0
2008-12-15	823200.0	8.0	3.0	1.0	509.0
2008-12-16	775200.0	14.0	0.0	13.0	494.0
2008-12-17	799200.0	9.0	1.0	4.0	468.0
2008-12-18	844800.0	8.0	0.0	6.0	322.0
2008-12-19	816600.0	7.0	3.0	3.0	530.0
2008-12-20	814200.0	3.0	1.0	2.0	516.0
2008-12-21	808200.0	9.0	4.0	4.0	445.0
2008-12-22	815401.0	12.0	5.0	3.0	492.0
2008-12-23	807000.0	12.0	2.0	5.0	628.0
2008-12-24	829198.0	5.0	2.0	1.0	532.0
2008-12-25	786600.0	5.0	1.0	4.0	537.0
2008-12-26	814801.0	6.0	6.0	1.0	681.0
2008-12-27	815400.0	5.0	4.0	8.0	675.0
2008-12-28	829800.0	10.0	2.0	10.0	553.0
2008-12-29	827400.0	0.0	5.0	2.0	606.0
2008-12-30	819600.0	4.0	4.0	5.0	691.0
2008-12-31	820200.0	5.0	2.0	3.0	651.0
2009-01-01	827400.0	11.0	3.0	4.0	599.0
2009-01-02	836400.0	4.0	0.0	7.0	636.0
2009-01-03	823800.0	4.0	3.0	2.0	670.0
2009-01-04	825000.0	4.0	0.0	4.0	570.0
2009-01-05	820200.0	9.0	4.0	5.0	614.0
2009-01-06	819600.0	14.0	4.0	5.0	658.0
2009-01-07	823200.0	23.0	3.0	2.0	725.0
2009-01-08	835800.0	34.0	1.0	1.0	937.0
2009-01-09	828600.0	28.0	6.0	9.0	756.0
2009-01-10	837000.0	34.0	0.0	0.0	738.0
2009-01-11	839400.0	18.0	1.0	1.0	606.0
2009-01-12	825000.0	11.0	1.0	3.0	638.0
2009-01-13	832200.0	9.0	5.0	6.0	630.0
2009-01-14	835200.0	10.0	2.0	4.0	709.0
2009-01-15	833398.0	11.0	0.0	11.0	562.0
2009-01-16	816000.0	5.0	7.0	2.0	591.0
2009-01-17	824400.0	10.0	3.0	7.0	570.0
2009-01-18	829200.0	9.0	23.0	4.0	671.0
2009-01-19	834000.0	14.0	2.0	2.0	649.0
2009-01-20	825600.0	10.0	1.0	4.0	493.0
2009-01-21	799800.0	14.0	0.0	5.0	598.0
2009-01-22	807600.0	15.0	3.0	6.0	685.0
2009-01-23	790200.0	48.0	3.0	0.0	635.0
2009-01-24	833400.0	13.0	3.0	2.0	780.0
2009-01-25	819600.0	17.0	12.0	4.0	636.0
2009-01-26	827400.0	3.0	6.0	1.0	629.0
2009-01-27	804000.0	7.0	5.0	4.0	585.0
2009-01-28	826200.0	7.0	2.0	6.0	808.0
2009-01-29	816000.0	11.0	1.0	2.0	851.0
2009-01-30	804600.0	11.0	3.0	4.0	844.0
2009-01-31	828000.0	9.0	3.0	5.0	900.0
2009-02-01	810600.0	12.0	2.0	2.0	746.0
2009-02-02	829800.0	36.0	1.0	1.0	888.0
2009-02-03	808800.0	9.0	2.0	2.0	928.0
2009-02-04	829801.0	3.0	2.0	2.0	936.0
2009-02-05	822000.0	5.0	4.0	5.0	823.0
2009-02-06	826200.0	6.0	1.0	4.0	755.0
2009-02-07	832200.0	7.0	2.0	1.0	951.0
2009-02-08	816000.0	4.0	2.0	25.0	977.0
2009-02-09	814800.0	12.0	3.0	54.0	927.0
2009-02-10	816601.0	12.0	1.0	17.0	747.0
2009-02-11	807000.0	14.0	6.0	4.0	816.0
2009-02-12	829800.0	13.0	0.0	3.0	792.0
2009-02-13	810600.0	11.0	6.0	11.0	868.0
2009-02-14	803984.0	7.0	3.0	7.0	1182.0
2009-02-15	807000.0	3.0	2.0	3.0	896.0
2009-02-16	819001.0	12.0	1.0	10.0	780.0
2009-02-17	814200.0	5.0	2.0	15.0	748.0
2009-02-18	688200.0	11.0	3.0	0.0	654.0
2009-02-19	752400.0	11.0	5.0	3.0	724.0
2009-02-20	809400.0	15.0	2.0	4.0	823.0
2009-02-21	813000.0	3.0	0.0	6.0	768.0
2009-02-22	813600.0	7.0	1.0	3.0	777.0
2009-02-23	817200.0	9.0	1.0	5.0	785.0
2009-02-24	814800.0	11.0	1.0	1.0	791.0
2009-02-25	827400.0	4.0	3.0	3.0	762.0
2009-02-26	828600.0	12.0	0.0	2.0	783.0
2009-02-27	838200.0	15.0	2.0	2.0	794.0
2009-02-28	832200.0	7.0	3.0	2.0	772.0
2009-03-01	830400.0	6.0	0.0	1.0	701.0
2009-03-02	845400.0	7.0	1.0	0.0	808.0
2009-03-03	839400.0	8.0	3.0	3.0	863.0
2009-03-04	837600.0	6.0	1.0	4.0	813.0
2009-03-05	828600.0	10.0	2.0	3.0	825.0
2009-03-06	831595.0	9.0	2.0	5.0	824.0
2009-03-07	830401.0	8.0	6.0	2.0	947.0
2009-03-08	797400.0	4.0	8.0	12.0	1114.0
2009-03-09	722378.0	16.0	4.0	2.0	667.0
2009-03-10	822000.0	16.0	11.0	5.0	1010.0
2009-03-11	842400.0	347.0	26.0	16.0	1517.0
2009-03-12	833401.0	99.0	11.0	7.0	1014.0
2009-03-13	817625.0	35.0	3.0	8.0	734.0
2009-03-14	833400.0	28.0	6.0	5.0	864.0
2009-03-15	834000.0	17.0	4.0	2.0	705.0
2009-03-16	849000.0	412.0	0.0	1.0	765.0
2009-03-17	839391.0	90.0	2.0	2.0	458.0
2009-03-18	832800.0	28.0	4.0	5.0	790.0
2009-03-19	838800.0	17.0	1.0	8.0	723.0
2009-03-20	850200.0	9.0	1.0	0.0	764.0
2009-03-21	833400.0	17.0	3.0	7.0	890.0
2009-03-22	817200.0	13.0	6.0	1.0	834.0
2009-03-23	822001.0	13.0	5.0	3.0	745.0
2009-03-24	834000.0	13.0	2.0	5.0	749.0
2009-03-25	822600.0	12.0	2.0	5.0	655.0
2009-03-26	830400.0	12.0	4.0	3.0	662.0
2009-03-27	812400.0	17.0	1.0	6.0	661.0
2009-03-28	826800.0	5.0	0.0	4.0	674.0
2009-03-29	823800.0	10.0	9.0	6.0	785.0
2009-03-30	829200.0	13.0	2.0	4.0	788.0
2009-03-31	819899.0	5.0	1.0	0.0	393.0
2009-04-01	791400.0	8.0	3.0	3.0	615.0
2009-04-02	825000.0	13.0	4.0	5.0	724.0
2009-04-03	818400.0	24.0	54.0	18.0	1550.0
2009-04-04	825000.0	11.0	41.0	14.0	1186.0
2009-04-05	822000.0	13.0	25.0	26.0	819.0
2009-04-06	806384.0	17.0	11.0	7.0	767.0
2009-04-07	822600.0	4.0	8.0	13.0	753.0
2009-04-08	826180.0	5.0	8.0	7.0	765.0
2009-04-09	814769.0	20.0	7.0	10.0	651.0
2009-04-10	822600.0	31.0	16.0	10.0	807.0
2009-04-11	811800.0	12.0	10.0	6.0	697.0
2009-04-12	812373.0	4.0	0.0	10.0	572.0
2009-04-13	814800.0	8.0	3.0	5.0	623.0
2009-04-14	828000.0	6.0	2.0	11.0	636.0
2009-04-15	823800.0	10.0	3.0	3.0	602.0
2009-04-16	811800.0	12.0	13.0	3.0	775.0
2009-04-17	824400.0	14.0	3.0	8.0	673.0
2009-04-18	830400.0	7.0	2.0	6.0	710.0
2009-04-19	790200.0	9.0	7.0	7.0	671.0
2009-04-20	827400.0	52.0	5.0	4.0	790.0
2009-04-21	829801.0	17.0	0.0	2.0	576.0
2009-04-22	816600.0	10.0	1.0	7.0	582.0
2009-04-23	828000.0	13.0	1.0	4.0	658.0
2009-04-24	822600.0	13.0	4.0	2.0	618.0
2009-04-25	821401.0	8.0	2.0	1.0	804.0
2009-04-26	815401.0	25.0	1.0	26.0	845.0
2009-04-27	819600.0	7.0	2.0	6.0	679.0
2009-04-28	796800.0	10.0	7.0	7.0	550.0
2009-04-29	818400.0	7.0	3.0	5.0	564.0
2009-04-30	828000.0	22.0	5.0	2.0	608.0
2009-05-01	828600.0	14.0	4.0	4.0	642.0
2009-05-02	816600.0	4.0	3.0	4.0	738.0
2009-05-03	822000.0	12.0	2.0	2.0	650.0
2009-05-04	817200.0	6.0	3.0	0.0	599.0
2009-05-05	828000.0	8.0	1.0	4.0	565.0
2009-05-06	631800.0	3.0	0.0	2.0	644.0
2009-05-07	590919.0	8.0	0.0	0.0	691.0
2009-05-08	781804.0	12.0	4.0	2.0	766.0
2009-05-09	864000.0	0.0	0.0	0.0	1440.0
2009-05-10	850200.0	0.0	0.0	0.0	1417.0
2009-05-11	824346.0	8.0	2.0	2.0	761.0
2009-05-12	823200.0	19.0	2.0	2.0	624.0
2009-05-13	810678.0	506.0	1.0	1.0	1387.0
2009-05-14	702600.0	1171.0	0.0	0.0	2342.0
2009-05-15	424200.0	707.0	0.0	0.0	1414.0
2009-05-16	405000.0	675.0	0.0	0.0	1350.0
2009-05-17	427200.0	712.0	0.0	0.0	1424.0
2009-05-18	417600.0	696.0	0.0	0.0	1392.0
2009-05-19	424200.0	707.0	0.0	0.0	1414.0
2009-05-20	345680.0	570.0	0.0	0.0	1143.0
2009-05-21	38877.0	19.0	0.0	0.0	59.0
2009-05-22	32740.0	7.0	0.0	0.0	35.0
2009-05-23	33298.0	8.0	0.0	0.0	36.0
2009-05-24	30918.0	4.0	0.0	0.0	32.0
2009-05-25	432421.0	12.0	1.0	3.0	301.0
2009-05-26	497631.0	7.0	2.0	4.0	394.0
2009-05-27	464848.0	4.0	1.0	0.0	384.0
2009-05-28	473760.0	6.0	0.0	2.0	357.0
2009-05-29	499549.0	11.0	1.0	1.0	433.0
2009-05-30	371900.0	4.0	2.0	0.0	297.0
2009-05-31	414270.0	2.0	0.0	4.0	342.0
2009-06-01	482974.0	4.0	2.0	3.0	460.0
2009-06-02	514346.0	9.0	5.0	2.0	457.0
2009-06-03	519130.0	1.0	1.0	3.0	384.0
2009-06-04	542590.0	11.0	3.0	4.0	438.0
2009-06-05	493527.0	9.0	1.0	0.0	332.0
2009-06-06	409658.0	1.0	1.0	0.0	282.0
2009-06-07	429166.0	6.0	2.0	3.0	346.0
2009-06-08	500242.0	2.0	1.0	0.0	350.0
2009-06-09	510529.0	9.0	1.0	3.0	391.0
2009-06-10	517328.0	19.0	11.0	2.0	988.0
2009-06-11	518010.0	5.0	4.0	1.0	506.0
2009-06-12	509978.0	6.0	3.0	4.0	439.0
2009-06-13	399221.0	8.0	0.0	2.0	345.0
2009-06-14	410595.0	3.0	2.0	3.0	333.0
2009-06-15	493337.0	3.0	5.0	4.0	460.0
2009-06-16	480807.0	8.0	2.0	3.0	387.0
2009-06-17	539241.0	3.0	1.0	2.0	428.0
2009-06-18	535722.0	6.0	1.0	5.0	361.0
2009-06-19	531974.0	3.0	0.0	3.0	413.0
2009-06-20	432237.0	7.0	4.0	4.0	382.0
2009-06-21	431334.0	2.0	1.0	8.0	299.0
2009-06-22	531985.0	3.0	3.0	3.0	440.0
2009-06-23	532112.0	8.0	2.0	2.0	415.0
2009-06-24	542866.0	16.0	2.0	8.0	434.0
2009-06-25	612766.0	5.0	1.0	7.0	409.0
2009-06-26	553378.0	4.0	2.0	4.0	343.0
2009-06-27	424478.0	2.0	2.0	2.0	315.0
2009-06-28	503460.0	7.0	3.0	1.0	360.0
2009-06-29	541102.0	4.0	3.0	6.0	355.0
2009-06-30	559039.0	6.0	6.0	2.0	391.0
2009-07-01	568428.0	8.0	2.0	2.0	380.0
2009-07-02	576353.0	4.0	3.0	2.0	418.0
2009-07-03	536204.0	4.0	1.0	7.0	455.0
2009-07-04	443326.0	5.0	1.0	2.0	472.0
2009-07-05	460821.0	3.0	0.0	2.0	369.0
2009-07-06	557803.0	10.0	3.0	5.0	400.0
2009-07-07	631447.0	6.0	2.0	7.0	384.0
2009-07-08	609362.0	10.0	0.0	4.0	442.0
2009-07-09	611081.0	4.0	5.0	4.0	430.0
2009-07-10	568118.0	4.0	4.0	6.0	396.0
2009-07-11	494681.0	5.0	1.0	1.0	338.0
2009-07-12	501028.0	5.0	2.0	3.0	376.0
2009-07-13	613511.0	5.0	4.0	6.0	378.0
2009-07-14	643760.0	4.0	3.0	9.0	421.0
2009-07-15	641435.0	4.0	1.0	7.0	517.0
2009-07-16	636065.0	8.0	0.0	9.0	486.0
2009-07-17	648556.0	4.0	1.0	2.0	426.0
2009-07-18	522114.0	1.0	3.0	4.0	386.0
2009-07-19	541534.0	6.0	1.0	5.0	353.0
2009-07-20	647171.0	22.0	3.0	3.0	493.0
2009-07-21	680786.0	15.0	2.0	5.0	469.0
2009-07-22	679901.0	16.0	4.0	6.0	495.0
2009-07-23	925892.0	7.0	2.0	13.0	669.0
2009-07-24	2017802.0	17.0	11.0	14.0	1486.0
2009-07-25	1606809.0	14.0	5.0	9.0	1159.0
2009-07-26	1644215.0	22.0	3.0	7.0	1085.0
2009-07-27	1973560.0	18.0	5.0	13.0	1423.0
2009-07-28	2007993.0	12.0	11.0	12.0	1346.0
2009-07-29	2085555.0	15.0	5.0	12.0	1448.0
2009-07-30	2159194.0	14.0	6.0	7.0	1462.0
2009-07-31	2049867.0	17.0	14.0	13.0	1451.0
2009-08-01	1581570.0	16.0	43.0	5.0	1216.0
2009-08-02	700600.0	6.0	2.0	4.0	514.0
2009-08-03	0.0	0.0	0.0	0.0	0.0
2009-08-04	0.0	0.0	0.0	0.0	0.0
2009-08-05	0.0	0.0	0.0	0.0	0.0
2009-08-06	507372.0	6.0	4.0	8.0	358.0
2009-08-07	1583842.0	12.0	13.0	25.0	1136.0
2009-08-08	1400651.0	7.0	2.0	3.0	937.0
2009-08-09	1788894.0	12.0	6.0	10.0	1127.0
2009-08-10	2002351.0	23.0	5.0	14.0	1322.0
2009-08-11	1939652.0	24.0	22.0	11.0	1600.0
2009-08-12	2138959.0	33.0	15.0	13.0	2313.0
2009-08-13	2114116.0	34.0	10.0	17.0	1885.0
2009-08-14	2184569.0	32.0	12.0	12.0	1554.0
2009-08-15	1673707.0	23.0	3.0	14.0	1109.0
2009-08-16	1471404.0	16.0	4.0	4.0	1009.0
2009-08-17	2100948.0	21.0	3.0	14.0	1358.0
2009-08-18	2262315.0	20.0	9.0	22.0	1424.0
2009-08-19	2266594.0	29.0	13.0	17.0	1467.0
2009-08-20	2266952.0	28.0	12.0	47.0	2038.0
2009-08-21	2334308.0	19.0	10.0	34.0	1440.0
2009-08-22	1973939.0	22.0	12.0	24.0	1299.0
2009-08-23	2005627.0	14.0	9.0	19.0	1176.0
2009-08-24	2205625.0	25.0	6.0	22.0	1585.0
2009-08-25	2181124.0	30.0	6.0	25.0	1465.0
2009-08-26	2190293.0	27.0	9.0	16.0	1894.0
2009-08-27	2283862.0	39.0	10.0	11.0	1476.0
2009-08-28	2272393.0	26.0	12.0	19.0	1418.0
2009-08-29	1933002.0	30.0	10.0	18.0	1259.0
2009-08-30	1949122.0	16.0	7.0	14.0	1138.0
2009-08-31	2181645.0	25.0	14.0	26.0	1466.0
2009-09-01	2248680.0	32.0	7.0	13.0	1365.0
2009-09-02	2162916.0	46.0	9.0	12.0	1761.0
2009-09-03	2251018.0	30.0	16.0	35.0	1592.0
2009-09-04	2242643.0	27.0	6.0	42.0	1427.0
2009-09-05	1877423.0	20.0	7.0	27.0	1171.0
2009-09-06	1860618.0	15.0	5.0	22.0	1081.0
2009-09-07	2070338.0	18.0	5.0	30.0	1278.0
2009-09-08	2225761.0	41.0	13.0	26.0	1310.0
2009-09-09	2195144.0	33.0	9.0	21.0	1424.0
2009-09-10	2326186.0	30.0	12.0	27.0	1282.0
2009-09-11	2225430.0	37.0	6.0	26.0	1460.0
2009-09-12	1959052.0	18.0	6.0	17.0	1242.0
2009-09-13	2309142.0	25.0	15.0	10.0	1255.0
2009-09-14	2384407.0	30.0	5.0	26.0	1390.0
2009-09-15	2363199.0	28.0	7.0	22.0	1348.0
2009-09-16	2410146.0	62.0	8.0	16.0	1531.0
2009-09-17	2382864.0	48.0	18.0	25.0	1408.0
2009-09-18	2378310.0	15.0	15.0	18.0	1365.0
2009-09-19	2088220.0	13.0	14.0	14.0	1273.0
2009-09-20	2149780.0	14.0	21.0	7.0	1237.0
2009-09-21	2458545.0	28.0	10.0	16.0	1498.0
2009-09-22	2580068.0	25.0	17.0	18.0	1732.0
2009-09-23	2340544.0	27.0	8.0	22.0	1355.0
2009-09-24	2600843.0	21.0	33.0	13.0	1471.0
2009-09-25	2527249.0	26.0	23.0	12.0	1500.0
2009-09-26	2239507.0	15.0	18.0	22.0	1284.0
2009-09-27	2402963.0	23.0	19.0	13.0	1327.0
2009-09-28	2651994.0	27.0	17.0	22.0	1461.0
2009-09-29	2640505.0	40.0	15.0	13.0	1479.0
2009-09-30	2687056.0	25.0	24.0	16.0	1569.0
2009-10-01	2764518.0	22.0	12.0	12.0	1492.0
2009-10-02	2678292.0	27.0	15.0	16.0	1439.0
2009-10-03	2301831.0	19.0	16.0	14.0	1331.0
2009-10-04	2404498.0	17.0	9.0	13.0	1302.0
2009-10-05	2635412.0	33.0	6.0	21.0	1419.0
2009-10-06	2183330.0	20.0	7.0	13.0	1251.0
2009-10-07	250034.0	3.0	0.0	1.0	141.0
2009-10-08	2527107.0	35.0	15.0	21.0	1452.0
2009-10-09	2715349.0	27.0	19.0	30.0	1674.0
2009-10-10	2321747.0	16.0	14.0	14.0	1414.0
2009-10-11	2353888.0	18.0	6.0	38.0	1344.0
2009-10-12	2555894.0	29.0	12.0	34.0	1380.0
2009-10-13	2721727.0	51.0	18.0	28.0	1512.0
2009-10-14	2675837.0	34.0	5.0	10.0	1464.0
2009-10-15	2716305.0	35.0	19.0	24.0	1459.0
2009-10-16	2745845.0	38.0	11.0	32.0	1549.0
2009-10-17	2421551.0	20.0	13.0	20.0	1428.0
2009-10-18	2328980.0	23.0	37.0	18.0	1323.0
2009-10-19	2685731.0	32.0	24.0	41.0	1574.0
2009-10-20	2565156.0	36.0	17.0	34.0	1491.0
2009-10-21	2230986.0	21.0	17.0	13.0	1502.0
2009-10-22	2769487.0	30.0	24.0	31.0	1673.0
2009-10-23	2692958.0	36.0	18.0	29.0	1426.0
2009-10-24	2390050.0	31.0	13.0	19.0	1373.0
2009-10-25	2501348.0	20.0	11.0	18.0	1242.0
2009-10-26	2799481.0	42.0	13.0	21.0	1669.0
2009-10-27	2873277.0	39.0	21.0	25.0	1671.0
2009-10-28	2862397.0	17.0	19.0	18.0	1456.0
2009-10-29	2860563.0	39.0	14.0	28.0	1613.0
2009-10-30	2782652.0	21.0	15.0	18.0	1395.0
2009-10-31	2228322.0	25.0	4.0	22.0	1086.0
2009-11-01	2434615.0	18.0	17.0	21.0	1316.0
2009-11-02	2770647.0	22.0	11.0	22.0	1464.0
2009-11-03	2863198.0	38.0	11.0	21.0	1631.0
2009-11-04	2909335.0	38.0	14.0	18.0	1637.0
2009-11-05	2938881.0	119.0	487.0	61.0	7545.0
2009-11-06	2844359.0	109.0	508.0	65.0	7190.0
2009-11-07	2510031.0	50.0	68.0	30.0	2436.0
2009-11-08	2639669.0	22.0	30.0	27.0	1862.0
2009-11-09	731516.0	5.0	9.0	11.0	532.0
2009-11-10	204059.0	6.0	2.0	6.0	140.0
2009-11-11	1840335.0	25.0	11.0	12.0	1129.0
2009-11-12	2731859.0	47.0	13.0	23.0	1363.0
2009-11-13	2423612.0	19.0	6.0	58.0	1357.0
2009-11-14	2092078.0	17.0	9.0	14.0	1286.0
2009-11-15	2174603.0	29.0	55.0	15.0	1293.0
2009-11-16	2414903.0	31.0	10.0	15.0	1412.0
2009-11-17	2361671.0	35.0	8.0	22.0	1546.0
2009-11-18	2498602.0	53.0	14.0	26.0	1437.0
2009-11-19	2512235.0	46.0	6.0	17.0	1463.0
2009-11-20	2472269.0	40.0	13.0	15.0	1653.0
2009-11-21	2141241.0	37.0	10.0	10.0	1222.0
2009-11-22	2311931.0	25.0	7.0	28.0	1296.0
2009-11-23	2488089.0	22.0	8.0	19.0	1330.0
2009-11-24	2502601.0	25.0	9.0	14.0	1310.0
2009-11-25	2531894.0	19.0	11.0	32.0	1301.0
2009-11-26	2442460.0	14.0	9.0	23.0	1068.0
2009-11-27	2382382.0	19.0	6.0	17.0	1088.0
2009-11-28	2197048.0	30.0	6.0	5.0	1141.0
2009-11-29	2285746.0	39.0	15.0	11.0	1452.0
2009-11-30	2506815.0	41.0	6.0	21.0	1950.0
2009-12-01	2733828.0	37.0	7.0	14.0	1886.0
2009-12-02	2725377.0	40.0	12.0	17.0	1529.0
2009-12-03	2692726.0	25.0	9.0	25.0	1333.0
2009-12-04	2676697.0	36.0	12.0	22.0	1536.0
2009-12-05	2375639.0	21.0	8.0	12.0	1178.0
