	date	state	school	type_school	death	suicide	number_victims	reliability	category	address	lat	lon
0	1970-01-05	DC	Hine Junior High School	K-12	1	0.0	1	3.0	Accidental	Hine Junior High School, Washington, DC, United States	38.8923472	-76.97896759999999
1	1970-01-05	DC	Sousa Junior High	K-12	0	0.0	0	3.0	Accidental	Sousa Junior High, Washington, DC, United States	38.8839745	-76.9531487
2	1970-01-05	DC	Unnamed High School	K-12	0	0.0	0	2.0	Robbery	Unnamed High School, Washington, DC, United States	38.9672873	-77.0193303
3	1970-02-06	OH	John F. Kennedy High School	K-12	0	0.0	0	2.0	Escalation of Dispute	John F. Kennedy High School, Cleveland, OH, United States	41.4494718	-81.5607
4	1970-03-23	CA	David Starr Jordan High School	K-12	0	0.0	0	2.0	Unknown	David Starr Jordan High School, Long Beach, CA, United States	33.8722207	-118.1840179
5	1970-04-15	AR	Pine Bluff Coleman High School	K-12	1	0.0	1	3.0	Gang-related	Pine Bluff Coleman High School, Pine Bluff, AR, United States	34.2161319	-92.05407439999999
6	1970-04-22	DE	Pierre S. du Pont High School	K-12	1	0.0	1	3.0	Escalation of Dispute	Pierre S. du Pont High School, Wilmington, DE, United States	39.76428	-75.53298
7	1970-05-08	FL	Carver High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Carver High School, Delray Beach, FL, United States	26.4605387	-80.1128433
8	1970-05-15	UT	Ben Lomond High School	K-12	0	0.0	0	2.0	Mental Health	Ben Lomond High School, Ogden, UT, United States	41.2493595	-111.9511011
9	1970-08-28	TX	Riverside High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Riverside High School, El Paso, TX, United States	31.7337929	-106.3723188
10	1970-08-31	FL	Allapatah Elementary School	K-12	1	0.0	1	2.0	Racial	Allapatah Elementary School, Miami, FL, United States	25.8051806	-80.2267373
11	1970-09-14	TN	Hamilton High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Hamilton High School, Nashville, TN, United States	36.1339392	-86.76598419999999
12	1970-09-28	IA	Central High School	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	Central High School, Davenport, IA, United States	41.5312612	-90.57645269999999
13	1970-10-05	MI	Pontiac Central High School	K-12	0	0.0	0	2.0	Racial	Pontiac Central High School, Detroit, MI, United States	42.6389216	-83.29104679999999
14	1970-10-19	TN	Booker T. Washington High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Booker T. Washington High School, Nashville, TN, United States	36.1887559	-95.9708218
15	1970-10-20	TN	Washington Junior High School	K-12	0	0.0	0	2.0	Unknown	Washington Junior High School, Nashville, TN, United States	36.1631124	-86.8124993
16	1970-10-27	OH	Appleseed Junior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Appleseed Junior High School, Mansfield, OH, United States	40.7626493	-82.5429017
17	1970-11-20	IL	Harlan High School	K-12	0	0.0	0	2.0	Gang-related	Harlan High School, Chicago, IL, United States	41.7182472	-87.62071139999999
18	1970-12-12	WI	Xavier High School	K-12	1		1	3.0	Officer Involved Shooting	Xavier High School, Appleton, WI, United States	44.2487795	-88.4333529
19	1971-02-02	PA	Morris E. Leeds Middle School	K-12	1	0.0	1	3.0	Anger Over Grade/Suspension/Discipline	Morris E. Leeds Middle School, Philadelphia, PA, United States	40.0714999	-75.1743432
20	1971-02-05	PA	John F. Kennedy High School	K-12	0	0.0	0	2.0	Unknown	John F. Kennedy High School, Willingboro, PA, United States	40.0312226	-74.8821102
21	1971-02-10	TX	Oak Cliff High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Oak Cliff High School, Dallas, TX, United States	32.6996702	-96.8157572
22	1971-02-25	OH	Franklin D. Roosevelt Junior High School	K-12	1	0.0	1	3.0	Unknown	Franklin D. Roosevelt Junior High School, Cleveland, OH, United States	41.5352632	-81.6104739
23	1971-03-09	AZ	Roskruge Junior High School	K-12	0	0.0	0	3.0	Accidental	Roskruge Junior High School, Tucson, AZ, United States	32.228453	-110.963284
24	1971-04-05	PA	William Penn High School	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	William Penn High School, Harrisburg, PA, United States	40.2931721	-76.89852239999999
25	1971-05-27	MI	Benton Harbor High School	K-12	0	0.0	0	2.0	Bullying	Benton Harbor High School, Saint Joseph, MI, United States	42.1024415	-86.457231
26	1971-06-02	NY	East Aurora Middle School	K-12	1	1.0	1	3.0	Accidental	East Aurora Middle School, East Aurora, NY, United States	42.7686922	-78.618675
27	1971-08-20	PA	Monessen High School	K-12	0	0.0	0	3.0	Racial	Monessen High School, Monessen, PA, United States	40.139574	-79.869912
28	1971-09-09	TX	Dunbar High School	K-12	1	0.0	1	3.0	Escalation of Dispute	Dunbar High School, Lubbock, TX, United States	33.5705848	-101.8155127
29	1971-09-24	NY	McKinley Vocational High School	K-12	1	0.0	1	2.0	Escalation of Dispute	McKinley Vocational High School, Buffalo, NY, United States	42.937193	-78.8791182
30	1971-09-28	MN	Central High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Central High School, Minneapolis, MN, United States	44.9489021	-93.1484443
31	1971-09-29	VA	Peabody Junior High School	K-12	1	0.0	1	2.0	Indiscriminate Shooting	Peabody Junior High School, Petersburg, VA, United States	37.1873005	-77.3950615
32	1971-10-28	MD	City College High School	K-12	0	0.0	0	2.0	Escalation of Dispute	City College High School, Baltimore, MD, United States	39.3256435	-76.5969191
33	1971-10-29	MD	Frederick Douglass High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Frederick Douglass High School, Baltimore, MD, United States	39.3147394	-76.6549423
34	1971-10-29	MD	Forest Park High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Forest Park High School, Baltimore, MD, United States	39.3325577	-76.6894252
35	1971-11-03	NM	Carlsbad Mid-High School	K-12	1	1.0	1	3.0	Mental Health	Carlsbad Mid-High School, Carlsbad, NM, United States	32.4291476	-104.234687
36	1971-11-08	OK	Grove Elementary School	K-12	1	0.0	1	2.0	Escalation of Dispute	Grove Elementary School, Grove, OK, United States	36.5873018	-94.7821621
37	1971-11-24	MD	Edmondson Senior High School	K-12	1	0.0	1	4.0	Escalation of Dispute	Edmondson Senior High School, Baltimore, MD, United States	39.2917249	-76.687831
38	1971-12-06	CA	Louis Stevenson Junior High School	K-12	0	0.0	0	2.0	Gang-related	Louis Stevenson Junior High School, Los Angeles, CA, United States	34.0260066	-118.1933118
39	1971-12-13	MD	Carver Vocational High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Carver Vocational High School, Baltimore, MD, United States	39.3044007	-76.6526347
