,Latitude,Longitude,Population
2907755,33.2441667,-86.8163889,26738.0
2907759,34.2675,-86.2088889,18368.0
2907765,32.9438889,-85.95388890000001,14993.0
2907804,33.6597222,-85.8316667,23423.0
2907848,34.8027778,-86.9716667,20470.0
2907855,32.6097222,-85.4808333,49833.0
2908015,33.4016667,-86.9544444,28628.0
2908046,33.5205556,-86.8025,231621.0
2908668,34.1747222,-86.84361109999999,14796.0
2908701,30.6033333,-87.90361109999999,18581.0
2908730,34.6058333,-86.9833333,54621.0
2908787,31.223055600000006,-85.3905556,61741.0
2908939,31.315,-85.8552778,22572.0
2908954,31.891111100000003,-85.1455556,13453.0
2908982,33.485833299999996,-86.9119444,11641.0
2908986,30.5227778,-87.9033333,15419.0
2909053,34.7997222,-87.6772222,35733.0
2909087,34.444166700000004,-85.7197222,13586.0
2909142,34.014166700000004,-86.0066667,36821.0
2909161,33.66,-86.81277779999999,12370.0
2909380,34.4433333,-86.9352778,13089.0
2909416,33.296111100000005,-86.84361109999999,13119.0
2909519,33.4716667,-86.8008333,23815.0
2909526,33.4052778,-86.81138890000001,66752.0
2909557,33.451111100000006,-86.9966667,15308.0
2909571,34.730277799999996,-86.5861111,167528.0
2909609,33.53805560000001,-86.7072222,9652.0
2909632,33.8136111,-85.76138890000001,8603.0
2909638,33.8311111,-87.2775,13831.0
2909843,33.548055600000005,-86.5444444,11167.0
2910001,34.6991667,-86.7483333,37652.0
2910182,32.4797222,-86.3619444,14308.0
2910216,30.6941667,-88.0430556,190274.0
2910236,32.3666667,-86.3,198325.0
2910314,33.5008333,-86.7522222,19509.0
2910339,34.7447222,-87.6675,12314.0
2910452,33.228888899999994,-87.57722220000001,20574.0
2910543,32.6452778,-85.3783333,23625.0
2910572,33.6141667,-85.835,16058.0
2910576,31.458888899999998,-85.6405556,14967.0
2910648,33.2855556,-86.81,19438.0
2910650,33.586111100000004,-86.28611109999999,10773.0
2910682,32.470833299999995,-85.0008333,28427.0
2910758,33.4908333,-86.97027779999999,10440.0
2910812,32.46388889999999,-86.4597222,28265.0
2910819,30.738611100000004,-88.07888890000001,27505.0
2911099,30.820555600000006,-88.07055559999999,12660.0
2911125,34.6722222,-86.0341667,14737.0
2911153,32.4072222,-87.02111109999998,18980.0
2911184,34.765,-87.6986111,9041.0
2911452,33.173055600000005,-86.2516667,12543.0
2911463,33.4358333,-86.1058333,19408.0
2911578,31.808611100000004,-85.97,13337.0
2911580,33.6197222,-86.60888890000001,15903.0
2911601,33.2097222,-87.5691667,79816.0
2911603,32.423888899999994,-85.6916667,11423.0
2911638,32.818611100000005,-85.17944440000001,8663.0
2911666,33.4486111,-86.78777779999999,37988.0
2912001,61.2180556,-149.90027780000003,276263.0
2912020,71.2905556,-156.7886111,4336.0
2912029,60.792222200000005,-161.7558333,6228.0
2912100,64.8569444,-147.80277780000003,11413.0
2912164,64.8377778,-147.7163889,31351.0
2912224,59.6425,-151.5483333,6560.0
2912251,58.301944400000004,-134.4197222,31796.0
2912275,60.5544444,-151.2583333,7610.0
2912279,55.34222220000001,-131.6461111,7172.0
2912296,57.79,-152.40722219999998,6148.0
2912416,64.5011111,-165.4063889,3485.0
2912448,61.59972220000001,-149.1127778,6585.0
2912539,57.0530556,-135.33,8931.0
2912546,60.487777799999996,-151.05833330000002,4136.0
2912555,60.53722220000001,-150.7647222,5173.0
2912626,61.58138889999999,-149.4394444,8521.0
2912830,33.415,-111.5488889,34904.0
2912863,33.4355556,-112.34888889999999,69679.0
2912963,33.3702778,-112.58305559999998,9039.0
2912969,35.1477778,-114.5675,37989.0
2913001,34.5636111,-111.85361110000001,10298.0
2913020,32.8794444,-111.75666670000001,32138.0
2913030,32.3233333,-110.99444440000002,77904.0
2913040,32.2977778,-110.91805559999999,71589.0
2913066,33.3061111,-111.84055559999999,234297.0
2913089,34.7575,-112.45305559999998,9233.0
2913158,32.9777778,-111.51694440000001,8487.0
2913182,34.7391667,-112.00916670000001,10681.0
2913270,31.344444399999997,-109.54472220000001,16692.0
2913274,32.1411111,-111.0277778,35743.0
2913302,33.6130556,-112.3238889,32308.0
2913316,32.7558333,-111.55416670000001,11019.0
2913347,35.1980556,-111.65055559999999,57566.0
2913350,33.031388899999996,-111.3866667,15482.0
