date	state	school	type_school	death	suicide	number_victims	lat	lon
1990-08-27	NV	Eldorado High	K-12	1	0.0	1	38.7326807	-120.8118798
1991-10-09	NY	James Monroe	K-12	1	0.0	1	43.146905	-77.598189
1991-04-23	CA	Ralph J. Bunche Middle	K-12	1	0.0	1	33.92167	-118.22814
1991-11-01	IA	University of Iowa	College	1	1.0	5	41.661683200000006	-91.5362795
1992-10-12	AZ	Desert View	K-12	1	0.0	1	33.562541499999995	-112.06876070000001
1992-11-20	IL	Edward Tilden	K-12	1	0.0	1	41.807533500000005	-87.6422731
1992-11-16	AL	Fairfield	K-12	1	0.0	1	33.490662300000004	-86.90804770000001
1992-01-13	TX	Langham Creek	K-12	1	1.0	1	29.879114500000004	-95.6732795
1992-05-01	CA	Lindhurst	K-12	1	0.0	4	39.0843374	-121.53579620000001
1992-10-06	TX	Northbrook	K-12	1	0.0	1	29.816060399999998	-95.5310535
1992-12-14	MA	Simon's Rock College of Bard	College	1	0.0	2	42.20985	-73.386391
1992-12-03	IL	Woodson	K-12	1	0.0	1	41.8142004	-87.608661
1993-02-01	NY	Amityville	K-12	1	0.0	1	40.6703784	-73.4117894
1993-11-05	MS	Bay Springs	K-12	1	0.0	1	31.9779313	-89.27839509999998
1993-12-08	GA	Beach	K-12	1	0.0	1	32.0533728	-81.116455
1993-05-21	MA	Boston	K-12	1	0.0	1	42.348430900000004	-71.06894
1993-02-26	CA	Century	K-12	1	0.0	1	33.727796000000005	-117.8495001
1993-12-16	MI	Chelsea	K-12	1	0.0	1	42.312898	-84.0059
1993-02-24	CA	Cleveland	K-12	1	0.0	1	33.844182399999994	-118.1067328
1993-01-18	KY	East Carter	K-12	1	0.0	2	38.326259	-82.930504
1993-01-21	CA	Fairfax	K-12	1	0.0	1	34.082787200000006	-118.3595219
1993-04-15	MA	Ford	K-12	1	0.0	1	41.7234365	-70.9058722
1993-04-03	CA	Grant	K-12	1	0.0	1	38.635737400000004	-121.43495379999999
1993-04-16	CA	Grant	K-12	1	0.0	1	38.635737400000004	-121.43495379999999
1993-03-18	GA	Harlem	K-12	1	0.0	1	33.4654153	-82.3120681
1993-08-31	GA	Harper	K-12	1	0.0	1	30.8304705	-83.9835031
1993-02-18	TX	Kimball	K-12	1	0.0	1	32.6992988	-96.87750279999999
1993-04-26	NC	Millbrook	K-12	1	0.0	1	35.865706200000005	-78.6038915
1993-11-04	CT	New Britain	K-12	1	0.0	1	41.6506548	-72.7778752
1993-05-27	LA	Nicholls	K-12	1	0.0	1	29.7944154	-90.8015178
1993-04-14	TX	Nimitz	K-12	1	0.0	1	32.794018300000005	-96.9472277
1993-01-12	FL	Norland	K-12	1	0.0	1	25.9520372	-80.2192147
