Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
02 14 2018;Parkland, FL ;Marjory Stoneman Douglas High School ;FL;K-12 ;Attack on other persons(s) resulting in injury or death;1;26.304503;-80.269457
02 08 2018;New York, NY ;The Metropolitan High School ;NY;K-12 ;Gun fired but no one injured;0;40.827733;-73.897018
02 05 2018;Maplewood, MN ;Harmony Learning Center ;MN;K-12 ;Gun fired but no one injured;0;45.021273;-93.017491
02 05 2018;Oxon Hill, MD ;Oxon Hill High School ;MD;K-12 ;Attack on other persons(s) resulting in injury or death;1;38.797249;-76.993634
02 01 2018;Los Angeles, CA ;Salvador B. Castro Middle School ;CA;K-12 ;Gun fired unintentionally resulting in injury or death;0;34.061282;-118.262913
01 31 2018;Philadelphia, PA ;Lincoln High School ;PA;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.044204;-75.041913
01 26 2018;Dearborn, MI ;Dearborn High School ;MI;K-12 ;Gun fired but no one injured;0;42.308796;-83.261711
01 25 2018;Mobile, AL ;Murphy High School ;AL;K-12 ;Gun fired but no one injured;0;30.682838;-88.08663
01 23 2018;Benton, KY ;Marshall County High School ;KY;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.912803;-88.332763
01 22 2018;Gentilly, LA ;The NET Charter High School ;LA;K-12 ;Attack on other persons(s) resulting in injury or death;1;30.02739;-90.051317
01 22 2018;Italy, TX ;Italy High School ;TX;K-12 ;Attack on other persons(s) resulting in injury or death;1;32.180916;-96.878557
01 20 2018;Winston-Salem, NC ;Wake Forest University ;NC;College ;Attack on other persons(s) resulting in injury or death;1;36.13525;-80.276342
01 15 2018;Marshall, TX ;Wiley College ;TX;College ;Gun fired but no one injured;0;32.538487;-94.375187
01 10 2018;San Bernardino, CA ;California State University, San Bernardino ;CA;College ;Gun fired but no one injured;0;34.182179;-117.323532
01 10 2018;Sierra Vista, AZ ;Coronado Elementary School ;AZ;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;31.475638;-110.195577
01 10 2018;Denison, TX ;Grayson College ;TX;College ;Gun fired but no one injured;0;33.706079;-96.634449
01 04 2018;Seattle, WA ;New Start High School ;WA;K-12 ;Gun fired but no one injured;0;47.496167;-122.342495
12 31 2017;Marysville, WA ;Pinewood Elementary School ;WA;K-12 ;Gun fired but no one injured;0;48.072871;-122.160878
12 27 2017;Lancaster, CA ;Lincoln Elementary School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;34.682952;-118.103867
12 19 2017;Beecher, MI ;Beecher High School ;MI;K-12 ;Attack on other persons(s) resulting in injury or death;1;43.098427;-83.715339
12 14 2017;Dallas, TX ;Elisha M. Pease Elementary School ;TX;K-12 ;Gun fired but no one injured;0;32.69784;-96.773324
