date	city	state	type_attack	motives	number_victims	Latitude	Longitude
2006-01-30	Goleta	Calif.	Shooting	Public Killing	7	34.435829	-119.827639
2006-02-21	Mesa	Ariz.	Shooting	Other	5	33.415184	-111.831472
2006-03-15	Detroit	Mich.	Shooting	Other	4	42.331427	-83.045754
2006-03-19	Forsyth County	Ga.	Shooting, stabbing	Robbery/burglary	4	34.23585	-84.143514
2006-03-25	Seattle	Wash.	Shooting	Public Killing	6	47.60621	-122.332071
2006-04-18	St. Louis	Mo.	Shooting	Public Killing	4	38.627003	-90.199404
2006-05-16	Phoenix	Ariz.	Shooting	Unknown	4	33.448377	-112.074037
2006-05-21	Baton Rouge	La.	Shooting	Family killing	5	30.451468	-91.187147
2006-06-01	Indianapolis	Ind.	Shooting	Robbery/burglary	7	39.768403	-86.158068
2006-06-17	New Orleans	La.	Shooting	Other	5	29.951066	-90.071532
2006-06-27	Slidell	La.	Shooting	Other	4	30.275195	-89.781175
2006-07-04	Gustine	Calif.	Shooting	Family killing	4	37.257717	-120.998815
2006-07-24	New Orleans	La.	Shooting	Other	4	29.951066	-90.071532
2006-08-23	Fresno	Calif.	Shooting	Other	4	36.737798	-119.787125
2006-09-04	Newry	Maine	Shooting	Other	4	44.488425	-70.788576
2006-09-30	North Charleston	S.C.	Shooting	Family killing	5	32.85462	-79.97481
2006-10-02	Nickel Mines	Pa.	Shooting	Public Killing	5	39.959214	-76.080417
2006-10-05	Frederick County	Va.	Shooting	Family killing	4	39.209644	-78.260102
2006-10-13	Port St. Lucie	Fla.	Shooting	Robbery/burglary	4	27.273049	-80.358226
2006-10-14	Kansas City	Kan.	Shooting	Robbery/burglary	4	39.114053	-94.627464
2006-10-14	Bonaparte	Iowa	Shooting	Family killing	5	40.698087	-91.803223
2006-11-04	New Orleans	La.	Shooting	Family killing	4	29.951066	-90.071532
2006-11-17	Kansas City	Mo.	Shooting	Robbery/burglary	4	39.099727	-94.578567
2006-12-16	Kansas City	Kan.	Shooting	Family killing	6	39.114053	-94.627464
2007-01-19	Fishkill	N.Y.	Shooting	Robbery/burglary	5	41.535649	-73.899025
2007-01-28	Omaha	Neb.	Shooting	Family killing	4	41.256537	-95.934503
2007-01-29	Youngstown	Ohio	Shooting	Other	4	41.09978	-80.649519
2007-02-12	Salt Lake City	Utah	Shooting	Public Killing	5	40.760779	-111.891047
2007-04-10	Happy Valley	Calif.	Shooting	Family killing	5	38.68194	-120.56222
2007-04-16	Blacksburg	Va.	Shooting	Public Killing	32	37.229573	-80.413939
2007-06-09	Delavan	Wis.	Shooting	Family killing	5	42.63307	-88.643714
2007-06-14	Channahon Township	Ill.	Shooting	Family killing	4	41.407005	-88.187668
2007-07-22	Philadelphia	Pa.	Shooting	Other	4	39.952584	-75.165222
2007-08-25	Jonestown	Texas	Shooting	Other	4	30.495475	-97.923347
2007-09-17	Detroit	Mich.	Shooting	Robbery/burglary	4	42.331427	-83.045754
2007-09-22	Miami	Fla.	Shooting	Other	4	25.76168	-80.19179
2007-10-07	Crandon	Wis.	Shooting	Other	6	45.571907	-88.902892
2007-10-18	Detroit	Mich.	Shooting	Other	4	42.331427	-83.045754
2007-11-11	Temecula	Calif.	Shooting	Family killing	4	33.493639	-117.148365
2007-11-22	Unity	Md.	Shooting	Family killing	4	39.226217	-77.069423
2007-12-05	Omaha	Neb.	Shooting	Public Killing	8	41.256537	-95.934503
